dt, Acceleration, Pressure, Their Altitude, Our Altitude
0.01,90.12,86147,1347.82,1347.906426
0.01,90.12,86135,1348.96,1348.518754
0.01,90.12,86114,1350.96,1349.278121
0.01,90.12,86120,1350.39,1349.842436
0.01,90.12,86105,1351.81,1350.48473
0.01,90.65,86115,1350.86,1350.974942
0.01,90.65,86080,1354.18,1351.710671
0.01,91.18,86079,1354.28,1352.416556
0.01,92.24,86074,1354.75,1353.137982
0.01,90.65,86064,1355.7,1353.636378
0.01,91.71,86046,1357.41,1354.486568
0.01,90.65,86046,1357.41,1354.94159
0.01,90.65,86037,1358.27,1355.588123
0.01,91.18,86030,1358.93,1356.157417
0.01,90.65,86030,1358.93,1356.616465
0.01,91.71,85997,1362.07,1357.465548
0.01,91.71,85996,1362.17,1358.117495
0.01,90.65,86005,1361.31,1358.525468
0.01,91.18,85996,1362.17,1359.056603
0.01,90.65,85964,1365.21,1359.711299
0.01,90.12,85962,1365.4,1360.306377
0.01,89.59,85949,1366.64,1360.882338
0,89.59,85949,1366.64,1360.355758
0.01,89.59,85959,1365.68,1360.901941
0.01,90.12,85937,1367.78,1361.593521
0.01,89.59,85936,1367.87,1362.136845
0.01,89.59,85942,1367.3,1362.582456
0.01,89.05,85932,1368.25,1362.98247
0.01,89.05,85923,1369.11,1363.465043
0.01,89.59,85910,1370.35,1364.035253
0.01,89.59,85904,1370.92,1364.568468
0.01,89.05,85904,1370.92,1364.980105
0.01,88.52,85895,1371.77,1365.397271
0.01,89.05,85882,1373.01,1365.959358
0.01,88.52,85862,1374.91,1366.541125
0.01,88.52,85872,1373.96,1367.007542
0.01,88.52,85874,1373.77,1367.352433
0.01,87.99,85859,1375.2,1367.767204
0.01,88.52,85858,1375.29,1368.211306
0.01,87.99,85836,1377.39,1368.71166
0.01,87.99,85854,1375.68,1369.027683
0.01,87.99,85830,1377.96,1369.50503
0.01,89.59,85832,1377.77,1370.089807
0.01,88.52,85812,1379.67,1370.56227
0.01,86.93,85831,1377.86,1370.756364
0.01,86.93,85810,1379.86,1371.15525
0.01,86.4,85817,1379.2,1371.360017
0.01,87.99,85817,1379.2,1371.755599
0.01,87.99,85791,1381.67,1372.222769
0.01,85.87,85798,1381.01,1372.414296
0.01,85.87,85796,1381.2,1372.6957
0.01,84.81,85784,1382.34,1372.890234
0.01,85.87,85778,1382.91,1373.343125
0.01,85.87,85776,1383.1,1373.619694
0.01,85.87,85778,1382.91,1373.929968
0,85.87,85778,1382.91,1373.027865
0.01,85.34,85771,1383.58,1373.488446
0.01,84.81,85754,1385.2,1373.946391
0.01,85.87,85766,1384.06,1374.412458
0.01,84.81,85740,1386.53,1374.853618
0.01,84.28,85727,1387.77,1375.455398
0.01,84.28,85736,1386.91,1375.840147
0.01,83.75,85723,1388.15,1376.288545
0.01,83.22,85731,1387.39,1376.558897
0.01,83.75,85695,1390.82,1377.247885
0.01,83.75,85700,1390.35,1377.743747
0.01,83.22,85708,1389.58,1378.082745
0.01,83.75,85686,1391.68,1378.674567
0.01,84.28,85665,1393.68,1379.416624
0.01,84.81,85667,1393.49,1380.096656
0.01,82.69,85666,1393.59,1380.447873
0.01,82.69,85662,1393.97,1380.963533
0.01,82.69,85642,1395.88,1381.518677
0.01,82.69,85663,1393.87,1381.860222
0.01,82.69,85651,1395.02,1382.250017
0.01,82.69,85637,1396.35,1382.757813
0.01,82.69,85624,1397.59,1383.323778
0.01,82.69,85616,1398.36,1383.912718
0.01,83.22,85612,1398.74,1384.525179
0.01,83.75,85593,1400.55,1385.281548
0.01,83.22,85588,1401.03,1385.92373
0.01,83.22,85587,1401.12,1386.548212
0.01,82.69,85569,1402.84,1387.195428
0.01,81.63,85542,1405.42,1387.978496
0.01,81.63,85555,1404.18,1388.576255
0.01,84.81,85544,1405.23,1389.538453
0.01,80.57,85533,1406.28,1389.836436
0.01,80.57,85514,1408.09,1390.713439
0,80.57,85514,1408.09,1390.083275
0.01,81.1,85517,1407.81,1390.958855
0.01,82.16,85514,1408.09,1391.664094
0.01,82.16,85491,1410.29,1392.581251
0.01,80.57,85482,1411.15,1393.269645
0.01,79.51,85488,1410.58,1393.840439
0.01,79.51,85469,1412.39,1394.531337
0.01,79.51,85449,1414.3,1395.351769
0.01,79.51,85451,1414.11,1396.054922
0.01,78.45,85429,1416.21,1396.792985
0.01,79.51,85428,1416.31,1397.640888
0.01,78.98,85409,1418.13,1398.414793
0.01,78.45,85393,1419.66,1399.312866
0.01,77.92,85409,1418.13,1399.860991
0.01,78.45,85373,1421.57,1400.832054
0.01,80.04,85352,1423.58,1401.998003
0.01,81.63,85356,1423.19,1403.097077
0.01,81.1,85339,1424.82,1404.114317
0.01,80.04,85337,1425.01,1404.997521
0.01,78.98,85304,1428.17,1406.025016
0.01,78.45,85315,1427.12,1406.821118
0.01,76.86,85300,1428.55,1407.517344
0.01,77.39,85286,1429.89,1408.44241
0.01,76.33,85296,1428.93,1408.949525
0.01,76.86,85245,1433.82,1410.11877
0.01,76.33,85215,1436.69,1411.273082
0.01,76.86,85214,1436.78,1412.479814
0.01,76.86,85199,1438.22,1413.595783
0.01,76.86,85189,1439.18,1414.754369
0.01,76.33,85174,1440.62,1415.836658
0.01,75.27,85167,1441.29,1416.818024
0.01,75.8,85133,1444.54,1418.128338
0.01,77.92,85130,1444.83,1419.487816
0,77.92,85130,1444.83,1419.422966
0.01,78.45,85112,1446.56,1420.931938
0.01,75.27,85107,1447.04,1421.822765
0.01,74.21,85107,1447.04,1422.818616
0.01,74.21,85067,1450.87,1423.989866
0.01,73.68,85050,1452.5,1425.22079
0.01,73.68,85063,1451.26,1426.174925
0.01,73.68,85039,1453.56,1427.281786
0.01,73.15,85046,1452.89,1428.133163
0.01,73.15,85020,1455.38,1429.204857
0.01,73.15,85011,1456.24,1430.223145
0.01,73.15,85014,1455.96,1431.122539
0.01,73.15,85002,1457.11,1432.040525
0.01,74.21,84973,1459.89,1433.276335
0.01,74.21,84954,1461.72,1434.489812
0.01,73.15,84956,1461.52,1435.484509
0.01,73.15,84924,1464.6,1436.742538
0.01,72.62,84913,1465.65,1437.88704
0.01,72.62,84919,1465.08,1438.9036
0.01,72.09,84913,1465.65,1439.78537
0.01,71.56,84869,1469.88,1441.023925
0.01,72.09,84889,1467.96,1441.978603
0.01,71.56,84855,1471.23,1443.094638
0.01,71.03,84836,1473.05,1444.278799
0.01,71.56,84853,1471.42,1445.225094
0.01,71.56,84846,1472.09,1446.111825
0.01,70.5,84825,1474.11,1447.030357
0.01,70.5,84813,1475.26,1448.035241
0.01,70.5,84810,1475.55,1448.931769
0.01,70.5,84767,1479.69,1450.198686
0.01,71.03,84775,1478.92,1451.285703
0.01,70.5,84768,1479.59,1452.252595
0.01,70.5,84769,1479.49,1453.160572
0,70.5,84769,1479.49,1452.791236
0.01,71.03,84729,1483.34,1454.207749
0.01,72.09,84698,1486.32,1455.77251
0.01,72.09,84712,1484.98,1457.022527
0.01,70.5,84696,1486.52,1458.130786
0.01,69.97,84685,1487.58,1459.283318
0.01,69.44,84676,1488.44,1460.318533
0.01,69.44,84653,1490.66,1461.53653
0.01,69.44,84642,1491.72,1462.70053
0.01,68.91,84621,1493.74,1463.92188
0.01,68.91,84601,1495.66,1465.237676
0.01,68.91,84608,1494.99,1466.327883
0.01,68.91,84574,1498.27,1467.662751
0.01,68.38,84568,1498.84,1468.848085
0.01,68.38,84548,1500.77,1470.156783
0.01,68.38,84518,1503.66,1471.602736
0.01,67.85,84513,1504.15,1472.901945
0.01,68.38,84528,1502.7,1473.995784
0.01,68.38,84478,1507.52,1475.436729
0.01,68.38,84467,1508.58,1476.859019
0.01,67.85,84463,1508.97,1478.096758
0.01,67.32,84443,1510.9,1479.398777
0.01,67.85,84422,1512.92,1480.839731
0.01,67.85,84391,1515.91,1482.400808
0.01,67.85,84414,1513.69,1483.580758
0.01,68.38,84381,1516.88,1485.022562
0.01,68.38,84382,1516.78,1486.264887
0.01,68.38,84345,1520.36,1487.77683
0.01,67.85,84338,1521.03,1489.120705
0.01,66.79,84307,1524.03,1490.572986
0.01,66.79,84321,1522.67,1491.766606
0.01,66.79,84275,1527.12,1493.286351
0.01,66.26,84292,1525.48,1494.42031
0,66.26,84292,1525.48,1494.323629
0.01,66.26,84263,1528.28,1495.768882
0.01,66.26,84242,1530.31,1497.214984
0.01,66.26,84234,1531.08,1498.624198
