11743692,38.80,-109.94,1372.00,38.00,0.31,10,82,40.30,86787.00,1287.47,-43.36,-32.45,-22.04,10.12,0.71,0.78,0,0,0,0,0,0,0
11743866,38.80,-109.94,1372.00,38.00,0.31,10,82,40.20,86762.00,1289.93,-43.82,-30.91,-17.65,10.20,0.82,0.71,0,0,0,0,0,0,0
11743951,38.80,-109.94,1372.00,38.00,0.31,10,82,40.20,86767.00,1287.66,-43.09,-32.64,-21.94,10.20,0.71,0.78,0,0,0,0,0,0,0
11744035,38.80,-109.94,1372.00,38.00,0.31,10,82,40.30,86794.00,1286.81,-43.36,-32.91,-21.94,10.16,0.75,0.71,0,0,0,0,0,0,0
11744211,38.80,-109.94,1372.00,38.00,0.31,10,82,40.20,86760.00,1290.30,-43.91,-31.18,-17.04,10.20,0.71,0.71,0,0,0,0,0,0,0
11744296,38.80,-109.94,1372.00,38.00,0.31,10,82,40.20,86774.00,1287.47,-43.73,-30.91,-17.35,10.16,0.71,0.67,0,0,0,0,0,0,0
11744381,38.80,-109.94,1372.00,38.00,0.31,10,82,40.30,86785.00,1287.00,-43.36,-32.91,-21.94,10.12,0.55,0.78,0,0,0,0,0,0,0
11744554,38.80,-109.94,1372.00,38.00,0.31,10,82,40.20,86766.00,1289.64,-43.82,-30.64,-17.24,10.24,0.59,0.67,0,0,0,0,0,0,0
11744641,38.80,-109.94,1372.00,38.00,0.31,10,82,40.20,86786.00,1287.38,-43.27,-32.64,-21.84,10.16,0.71,0.82,0,0,0,0,0,0,0
11744726,38.80,-109.94,1372.00,38.00,0.31,10,82,40.30,86787.00,1287.00,-43.55,-32.55,-21.94,10.16,0.75,0.78,0,0,0,0,0,0,0
11744899,38.80,-109.94,1372.00,38.00,0.31,10,82,40.20,86762.00,1289.93,-43.82,-31.18,-16.94,10.20,0.82,0.78,0,0,0,0,0,0,0
11744984,38.80,-109.94,1372.00,38.00,0.31,10,82,40.20,86776.00,1286.43,-43.27,-32.64,-21.63,10.12,0.67,0.75,0,0,0,0,0,0,0
11745071,38.80,-109.94,1372.00,43.00,0.31,10,82,40.30,86791.00,1287.28,-43.27,-32.73,-21.84,10.20,0.75,0.78,0,0,0,0,0,0,0
11745245,38.80,-109.94,1372.00,43.00,0.31,10,82,40.20,86766.00,1289.74,-43.82,-31.00,-16.94,10.20,0.67,0.78,0,0,0,0,0,0,0
11745330,38.80,-109.94,1372.00,43.00,0.31,10,82,40.20,86776.00,1287.19,-43.18,-32.82,-21.94,10.16,0.71,0.86,0,0,0,0,0,0,0
11745414,38.80,-109.94,1372.00,43.00,0.31,10,82,40.30,86796.00,1286.53,-43.09,-32.64,-21.63,10.20,0.63,0.78,0,0,0,0,0,0,0
11745590,38.80,-109.94,1372.00,43.00,0.31,10,82,40.20,86762.00,1289.64,-43.55,-31.18,-17.14,10.24,0.67,0.78,0,0,0,0,0,0,0
11745675,38.80,-109.94,1372.00,43.00,0.31,10,82,40.20,86777.00,1287.00,-43.45,-32.55,-21.94,10.16,0.71,0.82,0,0,0,0,0,0,0
11745759,38.80,-109.94,1372.00,43.00,0.31,10,82,40.30,86795.00,1287.38,-43.27,-32.73,-21.84,10.12,0.75,0.82,0,0,0,0,0,0,0
