dt, Acceleration, Pressure, Their Altitude, Our Altitude, DES
0.008500,10.160000,86792.000000,1287.09,1295.189111,0
0.017400,10.200000,86760.000000,1289.45,1295.576373,0
0.008700,10.200000,86783.000000,1287.09,1295.318848,0
0.008500,10.160000,86790.000000,1286.81,1294.985043,0
0.017300,10.240000,86757.000000,1289.55,1295.476550,0
0.008500,10.160000,86774.000000,1286.72,1295.403843,0
0.008700,10.160000,86789.000000,1287.28,1295.072148,0
0.017400,10.200000,86756.000000,1290.30,1295.553572,0
0.008400,10.120000,86774.000000,1287.85,1295.457846,0
0.008500,10.160000,86792.000000,1287.38,1295.047644,0
0.017600,10.280000,86756.000000,1290.30,1295.541804,0
0.008500,10.160000,86770.000000,1287.28,1295.522743,0
0.008400,10.120000,86790.000000,1288.04,1295.128250,0
0.017400,10.160000,86754.000000,1290.02,1295.627712,0
0.008700,10.240000,86780.000000,1287.38,1295.404260,0
0.008500,10.120000,86790.000000,1287.28,1295.024233,0
0.017300,10.080000,86761.000000,1290.21,1295.398959,0
0.008500,10.120000,86765.000000,1287.28,1295.508965,0
0.008700,10.360000,86789.000000,1287.56,1295.154473,0
0.017400,10.360000,86760.000000,1289.64,1295.528953,0
0.008400,10.160000,86773.000000,1286.81,1295.442265,0
0.008500,10.320000,86784.000000,1287.75,1295.194547,0
0.017400,10.240000,86757.000000,1289.55,1295.603159,0
0.008700,10.320000,86777.000000,1287.09,1295.445501,0
0.008500,10.200000,86799.000000,1287.00,1294.865101,0
0.017300,10.240000,86769.000000,1289.26,1295.123874,0
0.008500,10.200000,86777.000000,1287.00,1295.041239,0
0.009100,10.160000,86791.000000,1287.19,1294.723910,0
0.017300,10.200000,86758.000000,1290.21,1295.215933,0
0.008500,10.200000,86766.000000,1287.47,1295.335321,0
0.008500,10.200000,86788.000000,1287.28,1295.001251,0
0.017600,10.200000,86769.000000,1289.17,1295.215047,0
0.008400,10.200000,86772.000000,1286.81,1295.212152,0
0.008500,10.080000,86792.000000,1287.75,1294.809920,0
0.017300,10.200000,86768.000000,1289.17,1295.088956,0
0.010900,10.200000,86788.000000,1287.09,1294.814157,0
0.008500,10.160000,86790.000000,1287.28,1294.549387,0
0.017400,10.200000,86763.000000,1290.21,1294.973229,0
0.008500,10.120000,86774.000000,1287.38,1294.968868,0
0.008700,10.160000,86786.000000,1287.66,1294.750727,0
0.017300,39.380000,86762.000000,1290.21,1298.334058,0
0.008500,58.960000,86774.000000,1287.47,1300.786144,0
0.008500,75.000000,86780.000000,1287.94,1304.189772,0
0.017600,77.280000,86744.000000,1291.15,1306.731990,0
0.008400,76.730000,86741.000000,1291.25,1308.946626,0
0.008500,74.140000,86733.000000,1293.80,1310.158344,0
0.017400,73.430000,86666.000000,1300.13,1312.814780,0
0.008700,73.820000,86637.000000,1303.15,1314.984263,0
0.008400,73.710000,86587.000000,1308.07,1317.674997,0
0.017400,75.430000,86469.000000,1319.23,1322.390159,0
0.008500,75.000000,86425.000000,1321.88,1326.426527,0
0.008700,75.160000,86389.000000,1327.47,1330.342557,0
0.017300,75.980000,86243.000000,1341.32,1336.509462,0
0.008500,76.330000,86192.000000,1345.49,1341.934386,0
0.008500,76.570000,86133.000000,1351.28,1347.307433,0
